,ME_Id,EMC_Column_Name,EMU_Unit,ME_Value,EYM_YearMonth,ME_DateTimeRecord
124,180,S_Time_Utilization_min,1min,5853176.66,202404,2025-03-27 16:38:48.180
125,368,Material,1.00Bt,47490454.76,202404,2025-03-07 08:38:21.273
126,382,F_O_H_total,1.00Bt,56358104.73,202404,2025-04-07 14:21:26.770
127,181,Direct_Labor,1.00Bt,15628095.2,202405,2025-04-07 14:21:26.890
128,182,Indirect_Labor,1.00Bt,7900014.37,202405,2025-04-07 14:21:26.907
129,183,Outside_Process,1.00Bt,10864454.08,202405,2025-04-07 14:21:26.923
130,184,Indirect_Materials,1.00Bt,7865753.27,202405,2025-04-07 14:21:26.947
131,185,Repair_Maint,1.00Bt,493216.62,202405,2025-04-07 14:21:26.963
132,186,Electric_Power,1.00Bt,2272343.82,202405,2025-04-07 14:21:26.983
133,187,Depreciation,1.00Bt,6904748.8,202405,2025-04-07 14:21:27.000
134,188,Other_F_O_H,1.00Bt,5669553.56999999,202405,2025-04-07 14:21:27.020
135,189,Allocation,1.00Bt,2568867.51,202405,2025-04-07 14:21:27.060
136,190,S_Time_Utilization_min,1min,7203330.8,202405,2025-03-27 16:38:48.647
137,369,Material,1.00Bt,53003348.96,202405,2025-03-07 08:38:21.640
138,383,F_O_H_total,1.00Bt,60167047.24,202405,2025-04-07 14:21:27.080
139,191,Direct_Labor,1.00Bt,15435592.51,202406,2025-04-07 14:21:27.180
140,192,Indirect_Labor,1.00Bt,8053402.76,202406,2025-04-07 14:21:27.200
141,193,Outside_Process,1.00Bt,9705721.36,202406,2025-04-07 14:21:27.223
142,194,Indirect_Materials,1.00Bt,8138561.66,202406,2025-04-07 14:21:27.243
143,195,Repair_Maint,1.00Bt,629156.3,202406,2025-04-07 14:21:27.263
144,196,Electric_Power,1.00Bt,2166885.28,202406,2025-04-07 14:21:27.280
145,197,Depreciation,1.00Bt,7123993.71,202406,2025-04-07 14:21:27.300
146,198,Other_F_O_H,1.00Bt,4933708.63,202406,2025-04-07 14:21:27.327
147,199,Allocation,1.00Bt,2627538.63,202406,2025-04-07 14:21:27.350
148,200,S_Time_Utilization_min,1min,6386938.01,202406,2025-03-27 16:38:49.097
149,370,Material,1.00Bt,47403567.43,202406,2025-03-07 08:38:22.000
150,384,F_O_H_total,1.00Bt,58814560.84,202406,2025-04-07 14:21:27.370
151,201,Direct_Labor,1.00Bt,15892778.41,202407,2025-04-07 14:21:27.463
152,202,Indirect_Labor,1.00Bt,8153008.76,202407,2025-04-07 14:21:27.487
153,203,Outside_Process,1.00Bt,9617084.92,202407,2025-04-07 14:21:27.507
154,204,Indirect_Materials,1.00Bt,7948778.43,202407,2025-04-07 14:21:27.527
155,205,Repair_Maint,1.00Bt,1373599.38,202407,2025-04-07 14:21:27.543
156,206,Electric_Power,1.00Bt,2337042.74,202407,2025-04-07 14:21:27.563
157,207,Depreciation,1.00Bt,7194314.95,202407,2025-04-07 14:21:27.583
158,208,Other_F_O_H,1.00Bt,4661982.18999999,202407,2025-04-07 14:21:27.600
159,209,Allocation,1.00Bt,2596790.47,202407,2025-04-07 14:21:27.620
160,210,S_Time_Utilization_min,1min,6607644.38,202407,2025-03-27 16:38:49.810
161,371,Material,1.00Bt,49386200.24,202407,2025-03-07 08:38:22.413
162,385,F_O_H_total,1.00Bt,59775380.25,202407,2025-04-07 14:21:27.640
163,211,Direct_Labor,1.00Bt,15978909.46,202408,2025-04-07 14:21:27.730
164,212,Indirect_Labor,1.00Bt,8161472.54,202408,2025-04-07 14:21:27.747
165,213,Outside_Process,1.00Bt,9734121.08,202408,2025-04-07 14:21:27.767
166,214,Indirect_Materials,1.00Bt,8849315.12,202408,2025-04-07 14:21:27.787
167,215,Repair_Maint,1.00Bt,1363660.31,202408,2025-04-07 14:21:27.810
168,216,Electric_Power,1.00Bt,2311504.05,202408,2025-04-07 14:21:27.830
169,217,Depreciation,1.00Bt,7335782.05,202408,2025-04-07 14:21:27.847
170,218,Other_F_O_H,1.00Bt,4479618.58,202408,2025-04-07 14:21:27.867
171,219,Allocation,1.00Bt,2654253.14,202408,2025-04-07 14:21:27.890
172,220,S_Time_Utilization_min,1min,6463393.63,202408,2025-03-27 16:38:50.960
173,372,Material,1.00Bt,52283704.5,202408,2025-03-07 08:38:22.907
174,386,F_O_H_total,1.00Bt,60868636.33,202408,2025-04-07 14:21:27.923
175,221,Direct_Labor,1.00Bt,16167806.78,202409,2025-04-07 14:21:28.093
176,222,Indirect_Labor,1.00Bt,8121498.89,202409,2025-04-07 14:21:28.143
177,223,Outside_Process,1.00Bt,8947746.31,202409,2025-04-07 14:21:28.190
178,224,Indirect_Materials,1.00Bt,8934115.94,202409,2025-04-07 14:21:28.243
179,225,Repair_Maint,1.00Bt,1273105.1,202409,2025-04-07 14:21:28.290
180,226,Electric_Power,1.00Bt,2297133.49,202409,2025-04-07 14:21:28.350
181,227,Depreciation,1.00Bt,7186536.37,202409,2025-04-07 14:21:28.400
182,228,Other_F_O_H,1.00Bt,5620819.21,202409,2025-04-07 14:21:28.453
183,229,Allocation,1.00Bt,2629887.44,202409,2025-04-07 14:21:28.537
184,230,S_Time_Utilization_min,1min,6492951.77,202409,2025-03-27 16:38:51.930
185,373,Material,1.00Bt,45722800.7,202409,2025-03-07 08:38:23.360
186,387,F_O_H_total,1.00Bt,61178649.53,202409,2025-04-07 14:21:28.617
187,231,Direct_Labor,1.00Bt,15403512.2,202410,2025-04-07 14:21:28.897
188,232,Indirect_Labor,1.00Bt,7934630.14,202410,2025-04-07 14:21:28.933
189,233,Outside_Process,1.00Bt,8286404.25,202410,2025-04-07 14:21:28.967
190,234,Indirect_Materials,1.00Bt,7929029.22,202410,2025-04-07 14:21:28.997
191,235,Repair_Maint,1.00Bt,1151835.88,202410,2025-04-07 14:21:29.043
192,236,Electric_Power,1.00Bt,2183929.3,202410,2025-04-07 14:21:29.077
193,237,Depreciation,1.00Bt,7187004.71,202410,2025-04-07 14:21:29.110
194,238,Other_F_O_H,1.00Bt,4268014.90999999,202410,2025-04-07 14:21:29.143
195,239,Allocation,1.00Bt,2597407.71,202410,2025-04-07 14:21:29.177
196,240,S_Time_Utilization_min,1min,5833887.32,202410,2025-03-27 16:38:52.927
197,374,Material,1.00Bt,48301632.74,202410,2025-03-07 08:38:23.890
198,388,F_O_H_total,1.00Bt,56941768.32,202410,2025-04-07 14:21:29.217
199,301,Direct_Labor,1.00Bt,15267914.53,202411,2025-04-07 14:21:29.543
200,302,Indirect_Labor,1.00Bt,7966822.49,202411,2025-04-07 14:21:29.610
201,303,Outside_Process,1.00Bt,7694223.96,202411,2025-04-07 14:21:29.660
202,304,Indirect_Materials,1.00Bt,7722985.47,202411,2025-04-07 14:21:29.740
203,305,Repair_Maint,1.00Bt,1958752.07,202411,2025-04-07 14:21:29.780
204,306,Electric_Power,1.00Bt,2118115.98,202411,2025-04-07 14:21:29.813
205,307,Depreciation,1.00Bt,7249150.04,202411,2025-04-07 14:21:29.833
206,308,Other_F_O_H,1.00Bt,4760123.17,202411,2025-04-07 14:21:29.883
207,309,Allocation,1.00Bt,2627620.4,202411,2025-04-07 14:21:29.903
208,310,S_Time_Utilization_min,1min,5790222.6,202411,2025-03-27 16:38:53.380
209,375,Material,1.00Bt,46002589.07,202411,2025-03-07 08:38:24.400
